Gender,Customer_ID,Category,Product_Description,Date,Colour,Size,Quantity_Sold,Sub_Total,Shipping_Fee,Total_Amount,Bill_To_City,Type_Of_Sale
Male,4f5070faf83e5c0f4d616448b7bf8b89,Shorts,Nike Men PRINT Shorts #27,45398,Blue,2XL,1,2500,0,2500,Nairobi,Online
Male,4f5070faf83e5c0f4d616448b7bf8b89,Shorts,Nike Men PRINT Shorts #27,45398,Light Gray,2XL,1,2500,0,2500,Nairobi,Online
Male,4f5070faf83e5c0f4d616448b7bf8b89,Shorts,Nike Men PRINT Shorts #27,45398,Dark Gray,2XL,1,2500,0,2500,Nairobi,Online
Male,d4914c8a6836531def13d8baebcaf0ea,T Shirts,Nike Dri-fit Tshirts,44052,White,XL,1,1200,0,1200,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,Hoodies,Nike Jacket 2Layer,44052,Black and Cream,XL,1,1900,0,1900,Nakuru,Walk In
Male,179857679b8aa1e061363c8c2c17a319,Shorts,Nike Dri-fit Shorts #06 T1,44280,Black,L,1,1600,0,1600,Nairobi,Online
Male,179857679b8aa1e061363c8c2c17a319,T Shirts,Nike Dri-fit Tshirts #06 T1,44280,White,L,1,1600,0,1600,Nairobi,Online
Male,d4914c8a6836531def13d8baebcaf0ea,Towel,Mission Towel,44158,Green,0,1,1500,0,1500,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,Tops,Style & Co.,43857,White,L,1,800,0,800,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,Tops,Good Vibes,43857,Gray,L,1,800,0,800,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,T Shirts,Gap,45000,Brown,L,1,600,0,600,Nakuru,Walk In
Male,d4914c8a6836531def13d8baebcaf0ea,T Shirts,Gap,43997,Blue,L,1,500,0,500,Nakuru,Walk In
